id,content,source,timestamp,agency,service,claim_type,status,reach,growth_rate,confidence,service_sensitivity,official_conflict,time_urgency,response_status,mentioned_date
CLM001,"تداول واسع لمنشور يزعم إيقاف خدمة تجديد الهوية الوطنية عبر أبشر نهائيًا ابتداءً من الأسبوع القادم",مواقع تواصل - Demo,2026-09-11 08:12:00,AG02,تجديد الهوية الوطنية,معلومات مضللة,معلومات مضللة,95000,28,91,95,90,80,قيد المراجعة البشرية,2026-09-18
CLM002,"حساب يحاكي شعار وتصميم منصة أبشر وينشر رابطًا لتحديث بيانات الجوال بشكل عاجل",منتدى عام - Demo,2026-09-11 06:40:00,AG02,تحديث بيانات الجوال,محتوى منتحل,محتوى منتحل,90000,27,89,92,97,65,قيد المراجعة البشرية,2026-09-11
CLM003,"إعادة تداول منشور قديم من عام سابق عن تعليق إصدار رخص القيادة للنساء في بعض المناطق",تطبيقات مراسلة - Demo,2026-09-10 21:15:00,AG04,إصدار رخصة القيادة,معلومة قديمة,معلومة قديمة,60000,18,74,70,65,60,قيد التحقيق,2026-09-01
CLM004,"اقتباس صحيح لتعميم قديم عن رسوم الخدمات الصحية يُعاد نشره وكأنه قرار جديد هذا الأسبوع",مواقع تواصل - Demo,2026-09-10 14:05:00,AG03,رسوم الخدمات العلاجية,خارج السياق,خارج السياق,45000,15,68,62,55,60,قيد التحقيق,2026-09-05
CLM005,"منشور فردي محدود الانتشار يشكك في مواعيد عمل أحد مكاتب الجوازات دون أدلة",منتدى عام - Demo,2026-09-09 11:20:00,AG05,مواعيد خدمة الجوازات,غير متحقق,غير متحقق,2000,3,52,20,15,20,مراقبة,2026-09-09
CLM006,"انتشار سريع جدًا لادعاء بفرض رسوم مفاجئة على تجديد الإقامة اعتبارًا من الغد",مواقع تواصل - Demo,2026-09-11 09:50:00,AG01,تجديد الإقامة,معلومات مضللة,معلومات مضللة,180000,32,93,90,90,85,قيد المراجعة البشرية,2026-09-12
CLM007,"تساؤلات متفرقة حول تغيير مزعوم في آلية صرف معاش التقاعد دون مصدر واضح",تطبيقات مراسلة - Demo,2026-09-08 17:30:00,AG07,صرف المعاش التقاعدي,غير متحقق,غير متحقق,15000,8,58,45,35,35,مراقبة,2026-09-15
CLM008,"ادعاء بتعليق خدمة التأشيرات الإلكترونية تم إصدار توضيح رسمي بشأنه سابقًا",مواقع تواصل - Demo,2026-09-07 10:00:00,AG05,التأشيرة الإلكترونية,معلومات مضللة,معلومات مضللة,85000,22,88,85,80,70,معتمد ومنشور,2026-09-08
CLM009,"منشور يشير إلى تعديل مزعوم في نسب التأمينات الاجتماعية للمنشآت الصغيرة دون توثيق",منتدى عام - Demo,2026-09-09 19:45:00,AG07,اشتراكات المنشآت,غير متحقق,غير متحقق,20000,10,60,50,30,45,قيد التحقيق,2026-09-20
CLM010,"صورة معدّلة بصريًا تحاكي إعلانًا رسميًا لوزارة الداخلية بشأن تمديد صلاحية الإقامة",مواقع تواصل - Demo,2026-09-11 07:05:00,AG01,صلاحية الإقامة,محتوى منتحل,محتوى منتحل,100000,26,90,90,95,75,قيد المراجعة البشرية,2026-09-11
CLM011,"ادعاء غير دقيق عن فرض رسوم جديدة على رخص البناء في بعض الأمانات",تطبيقات مراسلة - Demo,2026-09-10 12:30:00,AG09,رخصة البناء,معلومات غير صحيحة,معلومات غير صحيحة,52000,19,72,65,70,55,قيد التحقيق,2026-09-14
CLM012,"تأكيد صحيح لقرار رسمي منشور مسبقًا بشأن جدول العام الدراسي يعاد تداوله بدقة",مواقع تواصل - Demo,2026-09-06 09:00:00,AG10,التقويم الدراسي,صحيح,صحيح,8000,6,95,40,5,20,مغلق,2026-09-01
