claim_id,event,timestamp,actor,details
CLM001,تم الرصد,2026-09-11 08:12:00,محرك الرصد,رصد المحتوى ضمن مواقع التواصل - Demo
CLM001,استخراج الادعاء,2026-09-11 08:12:18,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM001,اكتمال التحقق,2026-09-11 08:13:00,محرك التحقق,تصنيف الحالة كمعلومات مضللة بثقة 91%
CLM001,حساب Risk Score,2026-09-11 08:13:20,محرك المخاطر,احتساب درجة الخطورة 91/100
CLM001,توصية القرار,2026-09-11 08:13:35,محرك القرار,التوصية بإصدار توضيح رسمي مختصر
CLM001,توليد المسودة,2026-09-11 08:14:10,مولد الردود,إنشاء مسودة توضيح أولية
CLM001,مراجعة بشرية,2026-09-11 08:20:00,فريق التواصل المؤسسي,المسودة قيد المراجعة حاليًا
CLM002,تم الرصد,2026-09-11 06:40:00,محرك الرصد,رصد حساب منتحل ضمن منتدى عام - Demo
CLM002,استخراج الادعاء,2026-09-11 06:40:22,محرك الاستخراج,تحديد الجهة المنتحلة والخدمة المرتبطة
CLM002,اكتمال التحقق,2026-09-11 06:41:05,محرك التحقق,تصنيف الحالة كمحتوى منتحل بثقة 89%
CLM002,حساب Risk Score,2026-09-11 06:41:30,محرك المخاطر,احتساب درجة الخطورة 89/100
CLM002,توصية القرار,2026-09-11 06:41:50,محرك القرار,التوصية بتصعيد داخلي وإصدار تنبيه توعوي
CLM002,توليد المسودة,2026-09-11 06:42:40,مولد الردود,إنشاء مسودة تنبيه توعوي
CLM002,مراجعة بشرية,2026-09-11 06:50:00,فريق أمن المعلومات,المسودة قيد المراجعة حاليًا
CLM003,تم الرصد,2026-09-10 21:15:00,محرك الرصد,رصد المحتوى ضمن تطبيقات مراسلة - Demo
CLM003,استخراج الادعاء,2026-09-10 21:15:19,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM003,اكتمال التحقق,2026-09-10 21:16:10,محرك التحقق,تصنيف الحالة كمعلومة قديمة بثقة 74%
CLM003,حساب Risk Score,2026-09-10 21:16:30,محرك المخاطر,احتساب درجة الخطورة 69/100
CLM004,تم الرصد,2026-09-10 14:05:00,محرك الرصد,رصد المحتوى ضمن مواقع التواصل - Demo
CLM004,استخراج الادعاء,2026-09-10 14:05:15,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM004,اكتمال التحقق,2026-09-10 14:06:00,محرك التحقق,تصنيف الحالة كمحتوى خارج السياق بثقة 68%
CLM004,حساب Risk Score,2026-09-10 14:06:25,محرك المخاطر,احتساب درجة الخطورة 62/100
CLM005,تم الرصد,2026-09-09 11:20:00,محرك الرصد,رصد منشور محدود الانتشار
CLM005,استخراج الادعاء,2026-09-09 11:20:12,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM005,اكتمال التحقق,2026-09-09 11:21:00,محرك التحقق,تصنيف الحالة كغير متحقق بثقة 52%
CLM005,حساب Risk Score,2026-09-09 11:21:20,محرك المخاطر,احتساب درجة الخطورة 25/100
CLM006,تم الرصد,2026-09-11 09:50:00,محرك الرصد,رصد انتشار سريع ضمن مواقع التواصل - Demo
CLM006,استخراج الادعاء,2026-09-11 09:50:20,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM006,اكتمال التحقق,2026-09-11 09:51:05,محرك التحقق,تصنيف الحالة كمعلومات مضللة بثقة 93%
CLM006,حساب Risk Score,2026-09-11 09:51:25,محرك المخاطر,احتساب درجة الخطورة 94/100
