source_id,source_name,source_type,date,verified,related_claim,description
SRC001,تحديث صفحة خدمة أبشر - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-11,صحيح,CLM001,تحديث توضيحي يؤكد استمرار خدمة تجديد الهوية الوطنية دون أي إيقاف مزمع
SRC002,تعميم داخلي سابق - مصدر تجريبي,تعميم داخلي - Demo Data,2026-08-20,صحيح,CLM001,لا يوجد أي تعميم رسمي يشير إلى إيقاف الخدمة المذكورة
SRC003,دليل الهوية البصرية الرسمية - مصدر تجريبي,مرجع تصميم - Demo Data,2026-01-15,صحيح,CLM002,الحساب المنتحل يستخدم شعارًا وألوانًا مقاربة لكنه غير مرتبط بأي نطاق رسمي معتمد
SRC004,صفحة التحقق من الحسابات الرسمية - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-10,صحيح,CLM002,القائمة الرسمية للحسابات المعتمدة لا تتضمن الحساب المصدر لهذا المحتوى
SRC005,أرشيف بيانات سابقة - مصدر تجريبي,أرشيف رسمي - Demo Data,2025-11-02,صحيح,CLM003,البيان الأصلي الذي استند إليه المنشور يعود لعام سابق ولا ينطبق على الفترة الحالية
SRC006,تحديث موقع خدمة رخص القيادة - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-01,صحيح,CLM003,تأكيد استمرار إصدار رخص القيادة دون أي تعليق أو تعديل
SRC007,تعميم رسوم الخدمات العلاجية الأصلي - مصدر تجريبي,وثيقة رسمية - Demo Data,2025-06-10,صحيح,CLM004,التعميم المقتبس صحيح في نصه لكنه يخص فترة سابقة ولا يعكس القرار الحالي
SRC008,تحديث موقع خدمة تجديد الإقامة - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-11,صحيح,CLM006,لا توجد أي رسوم إضافية مقررة على تجديد الإقامة في التاريخ المذكور
SRC009,بيان توضيحي سابق مشابه - مصدر تجريبي,بيان صحفي - Demo Data,2026-03-05,صحيح,CLM006,سبق وأن تم تفنيد ادعاء مشابه بنفس النمط خلال فترة سابقة
SRC010,صفحة خدمة صرف المعاش التقاعدي - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-08,صحيح,CLM007,آلية الصرف الحالية مطابقة للمعتمد دون أي تغيير معلن
SRC011,بيان رسمي منشور سابقًا بشأن التأشيرة الإلكترونية - مصدر تجريبي,بيان صحفي - Demo Data,2026-09-08,صحيح,CLM008,تم نشر توضيح رسمي مسبق يؤكد استمرار خدمة التأشيرة الإلكترونية دون تعليق
SRC012,تحديث سياسة اشتراكات المنشآت - مصدر تجريبي,مصدر رسمي - Demo Data,2026-08-25,صحيح,CLM009,لا يوجد تعديل معلن على نسب الاشتراكات للمنشآت الصغيرة حتى تاريخه
SRC013,صفحة التحقق من الإعلانات الرسمية - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-11,صحيح,CLM010,التصميم المتداول لا يطابق قوالب الإعلانات الرسمية المعتمدة لوزارة الداخلية
SRC014,أرشيف الإعلانات الرسمية السابقة - مصدر تجريبي,أرشيف رسمي - Demo Data,2026-07-01,صحيح,CLM010,لا يوجد إعلان رسمي مطابق للمحتوى المتداول في الأرشيف الرسمي
SRC015,تحديث موقع خدمة رخصة البناء - مصدر تجريبي,مصدر رسمي - Demo Data,2026-09-10,صحيح,CLM011,جدول الرسوم المعتمد الحالي لا يتضمن أي رسوم جديدة كما هو مزعوم
SRC016,التقويم الدراسي الرسمي المعتمد - مصدر تجريبي,مصدر رسمي - Demo Data,2026-06-01,صحيح,CLM012,المحتوى المتداول مطابق تمامًا للتقويم الدراسي الرسمي المعتمد والمنشور مسبقًا
